name,pos,team,espn_adp,ecr,injury_risk,rush_att,rush_yds,rush_tds,targets,rec,rec_yds,rec_tds,pass_yds,pass_tds,pass_int,fumbles,notes,player_id,base_points,espn_pos_rank
Christian McCaffrey,RB,SF,1.1,1.0,Medium,260,1350,14,85,70,620,5,0,0,0,2,Consensus #1 overall in Full PPR when healthy. Unmatched pass-catching volume & TD equity.,1,,
CeeDee Lamb,WR,DAL,2.2,2.0,Low,14,95,1,175,130,1680,12,0,0,0,2,Monster 30%+ target share in high-volume pass offense. Elite PPR floor & ceiling.,2,,
Tyreek Hill,WR,MIA,3.1,3.0,OUT,6,0,0,165,0,0,0,0,0,0,1,"OUT - Severe knee injury dislocation/ACL, unsigned free agent. Do not draft.",3,0.0,
Ja'Marr Chase,WR,CIN,4.5,4.0,Questionable,4,15,0,155,105,1450,12,0,0,0,1,Elite chemistry with healthy Joe Burrow. Massive multi-TD ceiling.,4,,
Justin Jefferson,WR,MIN,5.0,5.0,Low,3,10,0,150,100,1500,9,0,0,0,1,Generational receiver route running. Overcomes QB variance with target dominance.,5,,
Amon-Ra St. Brown,WR,DET,6.8,6.0,Low,5,25,0,160,118,1480,10,0,0,0,1,"The Sun God. Top-3 OL, Ben Johnson scheme, highest PPR safety floor in football.",6,,
Bijan Robinson,RB,ATL,7.2,7.0,Low,245,1150,10,75,60,480,4,0,0,0,2,Zac Robinson McVay-tree offense unleashes bellcow workload behind elite top-5 OL.,7,,
Breece Hall,RB,NYJ,8.0,8.0,Questionable,240,1120,9,85,70,580,4,0,0,0,2,Q - Dealing with Strain. Active status monitored.,8,,
A.J. Brown,WR,PHI,9.5,9.0,Low,0,0,0,145,100,1400,9,0,0,0,1,Physical mismatch monster. Kellen Moore scheme boosts pass volume.,9,,
Garrett Wilson,WR,NYJ,10.8,10.0,Low,4,25,0,160,105,1320,8,0,0,0,2,Target funnel with top QB play. Breakout candidate for WR1 overall.,10,,
Jahmyr Gibbs,RB,DET,12.0,11.0,Low,200,1050,11,75,62,475,3,0,0,0,2,Elite per-touch efficiency behind league's best run-blocking OL. Explosive pass-catcher.,11,,
Saquon Barkley,RB,PHI,13.5,12.0,Low,255,1220,12,55,45,330,3,0,0,0,2,Massive offensive upgrade playing behind dominant Eagles offensive line. Goal-line monster.,12,,
Jonathan Taylor,RB,IND,14.2,13.0,Low,265,1280,12,40,30,220,1,0,0,0,2,Steichen RPO scheme creates huge running lanes. Pure workhorse rushing volume.,13,,
Puka Nacua,WR,LAR,15.0,14.0,Medium,10,75,0,150,102,1380,8,0,0,0,1,Knee irritation monitored in camp. Unbelievable target earner in McVay offense.,14,,
Kyren Williams,RB,LAR,16.5,15.0,Medium,240,1100,12,45,36,260,2,0,0,0,2,"McVay rides him inside the 10. Blake Corum drafted as depth, but Kyren remains clear starter.",15,,
Marvin Harrison Jr.,WR,ARI,17.0,16.0,Low,2,12,0,140,90,1250,9,0,0,0,1,Generational rookie prospect stepping immediately into clear alpha WR1 role with Kyler Murray.,16,,
Drake London,WR,ATL,19.5,17.0,Low,0,0,0,145,95,1240,8,0,0,0,1,Freed from Arthur Smith run-heavy system; elite target share in new pass-friendly scheme.,17,,
Derrick Henry,RB,BAL,18.0,18.0,Low,260,1200,14,20,15,120,0,0,0,0,2,"TD machine pairing with Lamar Jackson read-option. High rushing floor, low pass-catching.",18,,
Travis Etienne Jr.,RB,JAX,20.0,19.0,Low,240,1020,9,65,50,410,2,0,0,0,2,Workhorse 3-down role. Reliable PPR pass-catching floor.,19,,
Chris Olave,WR,NO,21.0,20.0,Low,0,0,0,145,95,1220,7,0,0,0,1,Klint Kubiak Shanahan-style motion scheme will get Olave free releases.,20,,
De'Von Achane,RB,MIA,22.5,21.0,Medium,160,950,8,65,52,430,3,0,0,0,2,Historic yards-per-touch efficiency. Splitting touches with Mostert/Wright but slate-winning upside.,21,,
Nico Collins,WR,HOU,23.0,22.0,Low,0,0,0,125,85,1280,8,0,0,0,1,Stroud's #1 outside target. Yards after catch monster in explosive passing offense.,22,,
Brandon Aiyuk,WR,SF,24.5,23.0,Low,2,10,0,115,80,1260,7,0,0,0,1,Signed extension; elite route efficiency. High yards per target.,23,,
Sam LaPorta,TE,DET,25.0,24.0,Questionable,1,4,0,120,88,920,9,0,0,0,1,TE1 in high-scoring Lions offense. Heavy red zone target share.,24,,
Travis Kelce,TE,KC,26.0,25.0,Low,0,0,0,125,95,980,7,0,0,0,1,Mahomes top safety valve. Full-PPR PPR cheat code at tight end.,25,,
